N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,28001000500,Adams County,Mississippi,2017,47,44,50,44,30,58,17,1.5,-10.1,43,-0.4,1.3,57,3.5,4.5,60,75,77.2,28,78.9,70.4,87,65.3,82.9,52,55,49,65,4.3,13.6,65,,,35,4.8,0,64,4.2,5.3,22,50,22,62,20.3,22.7,44,46,42,13,3.5,-6.5,78,,,15,84.2,65.5,49,41.7,41.9,99,24.3,80.3,6,90.2,77.9
1.0,,28001000500,Adams County,Mississippi,2018,45,42,48,46,34,58,34,1.3,-1.7,33,4.4,-2.3,57,3.5,4.5,57,75.7,77.3,28,78.9,70.4,89,64.9,83.8,56,64,48,65,4.3,13.6,73,,,53,0.8,10.7,64,4.2,5.3,18,50,18,62,20.3,22.7,34,28,39,15,5.7,-2.9,41,,,8,84.5,58,42,41.9,43,100,24.2,91.4,5,91.3,78.9
2.0,,28001000500,Adams County,Mississippi,2019,43,40,46,53,49,57,65,1.1,6.2,33,13.1,5.7,57,3.5,4.5,51,76.2,76.3,30,80,72.6,91,64.4,85.5,46,44,47,51,13,14,69,,,12,7.4,-22.6,64,4.2,5.3,16,50,16,62,20.3,22.7,30,27,34,18,8.8,1.5,36,,,5,84.9,53.8,26,42,45.9,99,24.1,75.9,6,92.5,81.5
3.0,,28001000500,Adams County,Mississippi,2020,48,53,42,60,64,57,71,0.9,8.8,56,20.3,41.7,57,3.5,4.5,46,76.5,75.4,31,81.1,74.5,94,63.9,87.5,42,46,38,60,6.8,12.3,68,,,11,7.7,-25,41,3.7,3.1,13,50,13,60,20.8,22.8,40,49,30,23,11.5,6.5,75,,,4,85.4,52.5,14,42,48.9,94,24.1,51.5,7,93.5,83.1
4.0,,28001000500,Adams County,Mississippi,2021,43,49,37,46,38,54,53,-0.6,1,24,19.6,-3.8,57,3.5,4.5,43,77.1,75.3,19,86.1,75.9,98,63.5,92.3,40,47,32,23,5.1,-7.8,46,,,73,8,172.2,27,5.3,3.4,10,49,10,60,20.8,22.8,43,62,24,42,12.9,15.1,82,,,2,86.8,47.6,11,41.6,50.5,81,26.3,42.9,4,94.3,81
5.0,,28001000500,Adams County,Mississippi,2022,39,40,38,46,28,65,35,-0.7,-5.2,21,24.5,-5.8,57,3.5,4.5,98,76.7,91.8,11,87.8,73.6,95,63.8,88.6,40,43,36,39,-12.1,-16.9,38,,,53,16.4,30.6,37,5.3,4.1,9,49,9,63,21.1,23.7,30,48,12,59,13.7,25.8,38,,,5,87,57.7,4,41.6,55.1,33,26.3,19.7,4,94.2,79.7
6.0,,28001000500,Adams County,Mississippi,2023,36,35,36,45,24,66,25,-0.9,-14.5,24,42.1,14.8,57,3.5,4.5,97,76,89.6,12,89.1,76.4,97,63.9,90.7,34,31,37,51,27.3,28.6,19,,,23,-8.7,-28.1,38,4,3.2,9,49,9,63,20.7,23.3,27,50,4,68,15.7,47.5,32,,,5,86.9,58.6,1,41.8,61.4,,26.6,,6,94.3,82
7.0,,28001000500,Adams County,Mississippi,2024,34,40,29,45,24,66,25,-0.9,-14.5,24,42.1,14.8,57,3.5,4.5,97,76,89.6,12,89.1,76.4,97,63.9,90.7,30,45,16,72,-5,6.3,41,,,23,-8.7,-28.1,11,3.7,1.5,9,49,9,27,1.1,0.7,27,50,4,68,15.7,47.5,31,,,5,86.9,58.6,1,41.8,61.4,,26.6,,6,94.3,82
