N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,Yes,50021963300,Rutland County,Vermont,2017,48,49,48,40,40,41,54,1.5,0.7,26,-0.4,-15.1,18,3.5,0.7,25,75,67.9,29,78.9,70.6,93,65.3,86.9,52,50,53,39,4.3,-10.2,46,,,65,4.8,10.1,17,4.2,2.2,44,50,44,98,20.3,38.2,54,57,51,39,3.5,1.7,75,,,28,84.2,75.1,51,41.7,41.6,48,24.3,23.7,78,90.2,94.5
1.0,Yes,50021963300,Rutland County,Vermont,2018,46,43,49,38,34,42,43,1.3,-2,26,4.4,-12.9,18,3.5,0.7,25,75.7,68.9,29,78.9,70.6,96,64.9,89.2,49,46,52,39,4.3,-10.2,58,,,40,0.8,-12.2,17,4.2,2.2,41,50,41,98,20.3,38.2,51,48,54,48,5.7,7.2,49,,,30,84.5,76.8,46,41.9,42.4,64,24.2,29.5,75,91.3,94.8
2.0,Yes,50021963300,Rutland County,Vermont,2019,50,53,48,41,41,41,33,1.1,-5.8,49,13.1,17,18,3.5,0.7,21,76.2,67.8,28,80,71.6,96,64.4,89.5,56,63,50,53,13,8,82,,,54,7.4,4.7,17,4.2,2.2,35,50,35,98,20.3,38.2,54,56,52,55,8.8,13.3,58,,,28,84.9,76.4,40,42,43.5,74,24.1,33.7,67,92.5,94.6
3.0,Yes,50021963300,Rutland County,Vermont,2020,49,51,47,40,40,40,27,0.9,-10,53,20.3,29.1,18,3.5,0.7,20,76.5,67.7,25,81.1,72.2,97,63.9,89.9,54,54,54,44,6.8,-2.6,52,,,67,7.7,14.4,32,3.7,2.7,32,50,32,98,20.8,38.6,54,60,48,64,11.5,21.2,56,,,28,85.4,77.1,34,42,44.5,63,24.1,28.9,69,93.5,95.5
4.0,Yes,50021963300,Rutland County,Vermont,2021,52,58,47,43,48,38,33,-0.6,-11.2,64,19.6,52.1,18,3.5,0.7,21,77.1,68,13,86.1,72.1,98,63.5,92.7,58,65,51,49,5.1,-0.9,70,,,75,8,26.2,30,5.3,3.6,25,49,25,97,20.8,36.9,58,62,53,65,12.9,23.7,59,,,28,86.8,78.8,29,41.6,45.3,91,26.3,54.1,63,94.3,95.8
5.0,Yes,50021963300,Rutland County,Vermont,2022,52,56,47,47,55,39,41,-0.7,-6.8,69,24.5,72.5,18,3.5,0.7,28,76.7,70.4,15,87.8,75.9,96,63.8,89.9,52,55,50,69,-12.1,-9.5,58,,,39,16.4,-0.8,16,5.3,2.5,37,49,36,97,21.1,36.9,56,59,52,68,13.7,27.8,50,,,43,87,85,31,41.6,44.9,,26.3,,83,94.2,97.7
6.0,Yes,50021963300,Rutland County,Vermont,2023,54,60,48,52,63,42,59,-0.9,-0.1,67,42.1,90.5,18,3.5,0.7,45,76,74.7,11,89.1,75.6,94,63.9,87.6,58,62,55,65,27.3,27.5,65,,,55,-8.7,-11.7,31,4,2.7,37,49,36,97,20.7,36.2,51,54,48,59,15.7,24,50,,,26,86.9,78.3,35,41.8,44.2,,26.6,,84,94.3,97.8
7.0,Yes,50021963300,Rutland County,Vermont,2024,55,63,47,52,63,42,59,-0.9,-0.1,67,42.1,90.5,18,3.5,0.7,45,76,74.7,11,89.1,75.6,94,63.9,87.6,57,63,51,61,-5,-5.9,72,,,55,-8.7,-11.7,22,3.7,2.1,37,49,36,95,1.1,4,55,62,48,59,15.7,24,66,,,26,86.9,78.3,35,41.8,44.2,,26.6,,84,94.3,97.8
