N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,01047956100,Dallas County,Alabama,2020,55,48,62,61,54,68,51,-0.2,-3.4,58,9.7,10.3,58,1.4,1.8,97,81.6,91.6,63,71.1,75.8,52,67.5,68.2,54,38,70,27,9.1,-5.5,53,,,33,5,-10.3,83,4.2,7.7,57,24,29,,,,49,51,47,56,9.7,11.7,46,,,51,79.8,80.2,64,44,42.1,58,20,22.8,14,90.3,85
1.0,,01047956100,Dallas County,Alabama,2021,52,41,63,48,30,66,35,-3,-18.2,25,2.4,-62.7,58,1.4,1.8,98,83.2,94.4,71,79,85.4,36,66.9,60,64,59,70,67,5.1,11.5,40,,,71,20,42.9,80,6,10.3,61,27,35,,,,44,35,54,35,11.3,4.4,35,,,34,81.2,76,69,43.2,40.3,80,24,41.9,31,91.3,88.5
2.0,,01047956100,Dallas County,Alabama,2022,52,40,63,46,32,60,35,-3,-33.2,29,5.5,-45.4,58,1.4,1.8,97,82.7,92.5,42,81.5,78.8,41,67.2,63,59,59,59,43,1.8,-1.7,60,,,74,14.3,52,75,5.5,8.8,43,28,24,,,,50,28,71,31,12.1,2.5,25,,,54,81.8,83.1,78,43.1,39,91,25.2,55,60,90.9,92
3.0,,01047956100,Dallas County,Alabama,2023,51,42,60,46,30,63,35,-2.5,-49.8,26,20.3,-49.1,58,1.4,1.8,99,81.8,94.1,40,82.9,80.1,54,66.9,68.4,62,58,65,73,15.5,31.6,74,,,27,-16.8,-51.4,87,4.3,9.3,43,28,24,,,,45,38,52,31,13.9,2.3,44,,,33,81.2,75.8,52,43.6,43.4,,25.9,,72,91.1,93.5
4.0,,01047956100,Dallas County,Alabama,2024,50,39,61,46,30,63,35,-2.5,-49.8,26,20.3,-49.1,58,1.4,1.8,99,81.8,94.1,40,82.9,80.1,54,66.9,68.4,53,38,68,44,-3.7,-6.7,43,,,27,-16.8,-51.4,93,3.9,11.4,43,28,24,,,,50,48,52,31,13.9,2.3,64,,,33,81.2,75.8,52,43.6,43.4,,25.9,,72,91.1,93.5
5.0,,01047956800,Dallas County,Alabama,2020,43,37,49,52,40,63,48,-0.2,2,31,9.7,-2.1,62,1.4,2.2,70,81.6,84.6,32,71.1,64.7,87,67.5,82.9,40,34,45,29,9.1,-4.1,48,,,25,5,-14.3,67,4.2,5.6,23,24,10,,,,38,38,38,23,9.7,-10.9,53,,,11,79.8,59.5,6,44,54.4,81,20,34.4,55,90.3,90.9
6.0,,01047956800,Dallas County,Alabama,2021,50,37,63,44,23,66,24,-3,-10.4,22,2.4,-32.3,62,1.4,2.2,51,83.2,83.3,52,79,79.6,98,66.9,92.8,60,50,70,49,5.1,2.8,30,,,70,20,53.3,77,6,9.6,64,27,38,,,,45,38,52,33,11.3,1.3,42,,,23,81.2,70.9,23,43.2,47.9,95,24,67.3,67,91.3,93
7.0,,01047956800,Dallas County,Alabama,2022,49,33,65,42,20,63,22,-3,-16.9,18,5.5,-39.3,62,1.4,2.2,29,82.7,78.9,64,81.5,85.2,96,67.2,89.8,56,43,69,33,1.8,-8.2,63,,,32,14.3,-2.2,84,5.5,10.4,54,28,31,,,,48,35,62,41,12.1,5.6,29,,,35,81.8,76,28,43.1,46.7,96,25.2,73,88,90.9,96.1
