N/A,META,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,SUMMARY,Unnamed: 7,Unnamed: 8,PLACE,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,ECONOMY,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,COMMUNITY,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71
,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,01047956100,Dallas County,Alabama,2020,46,43,50,50,44,56,45,0.9,-3.4,42,20.3,10.3,33,3.5,1.8,99,76.5,91.6,34,81.1,75.8,59,63.9,68.2,48,39,58,26,6.8,-5.5,67,,,23,7.7,-10.3,88,3.7,7.7,29,50,29,,,,40,45,35,46,11.5,11.7,44,,,35,85.4,80.2,50,42,42.1,46,24.1,22.8,10,93.5,85
1.0,,01047956100,Dallas County,Alabama,2021,46,38,53,41,26,56,32,-0.6,-18.2,19,19.6,-62.7,33,3.5,1.8,99,77.1,94.4,47,86.1,85.4,43,63.5,60,58,57,60,65,5.1,11.5,36,,,70,8,42.9,84,5.3,10.3,36,49,35,,,,37,30,44,25,12.9,4.4,36,,,22,86.8,76,59,41.6,40.3,79,26.3,41.9,18,94.3,88.5
2.0,,01047956100,Dallas County,Alabama,2022,44,35,53,38,27,50,33,-0.7,-33.2,21,24.5,-45.4,33,3.5,1.8,99,76.7,92.5,20,87.8,78.8,48,63.8,63,54,57,51,65,-12.1,-1.7,36,,,69,16.4,52,77,5.3,8.8,25,49,24,,,,39,20,58,22,13.7,2.5,18,,,37,87,83.1,68,41.6,39,91,26.3,55,35,94.2,92
3.0,,01047956100,Dallas County,Alabama,2023,45,42,48,40,26,53,33,-0.9,-49.8,19,42.1,-49.1,33,3.5,1.8,100,76,94.1,19,89.1,80.1,60,63.9,68.4,54,53,56,55,27.3,31.6,87,,,18,-8.7,-51.4,88,4,9.3,25,49,24,,,,40,46,35,21,15.7,2.3,71,,,21,86.9,75.8,40,41.8,43.4,,26.6,,44,94.3,93.5
4.0,,01047956100,Dallas County,Alabama,2024,41,33,49,40,26,53,33,-0.9,-49.8,19,42.1,-49.1,33,3.5,1.8,100,76,94.1,19,89.1,80.1,60,63.9,68.4,46,34,59,44,-5,-6.7,41,,,18,-8.7,-51.4,93,3.7,11.4,25,49,24,,,,38,40,35,21,15.7,2.3,58,,,21,86.9,75.8,40,41.8,43.4,,26.6,,44,94.3,93.5
5.0,,01047956800,Dallas County,Alabama,2020,38,33,43,44,31,56,43,0.9,2,19,20.3,-2.1,38,3.5,2.2,86,76.5,84.6,13,81.1,64.7,88,63.9,82.9,38,34,42,29,6.8,-4.1,59,,,15,7.7,-14.3,75,3.7,5.6,10,50,10,,,,32,33,30,15,11.5,-10.9,51,,,8,85.4,59.5,4,42,54.4,75,24.1,34.4,32,93.5,90.9
6.0,,01047956800,Dallas County,Alabama,2021,42,31,54,37,14,60,16,-0.6,-10.4,12,19.6,-32.3,38,3.5,2.2,77,77.1,83.3,28,86.1,79.6,98,63.5,92.8,53,46,60,46,5.1,2.8,25,,,68,8,53.3,81,5.3,9.6,38,49,38,,,,38,34,42,22,12.9,1.3,45,,,15,86.8,70.9,18,41.6,47.9,96,26.3,67.3,40,94.3,93
7.0,,01047956800,Dallas County,Alabama,2022,40,23,56,35,12,58,15,-0.7,-16.9,10,24.5,-39.3,38,3.5,2.2,59,76.7,78.9,39,87.8,85.2,96,63.8,89.8,46,35,57,58,-12.1,-8.2,27,,,21,16.4,-2.2,83,5.3,10.4,31,49,31,,,,37,22,52,29,13.7,5.6,14,,,22,87,76,23,41.6,46.7,97,26.3,73,67,94.2,96.1
